Name,Percent Male,Percent Female
Haniah,0,0
Eliaz,0,0
Nidhi,0,0
Adreanna,0,0
Neelesh,0,0
Cypress,0.46296296296296297,0.5370370370370371
Essynce,0,0
Alivya,0,0
Neeah,0,0
Kemi,0,0
Chrishelle,0,0
Gordon,0,0
Tinslee,0,0
Kemp,0,0
Lyllie,0,0
Lyllia,0,0
Ezrah,0.8490566037735849,0.1509433962264151
Jahvier,0,0
Bernadette,0,0
Saffiyah,0,0
Roslyn,0,0
Fatouma,0,0
Kalisha,0,0
Idalynn,0,0
Tejasvi,0,0
Taggart,0,0
Livy,0,0
Damiyah,0,0
Deborah,0,0
Keyra,0,0
Destyni,0,0
Berkli,0,0
Keyri,0,0
Livvy,0,0
Keniyah,0,0
Blaydin,0,0
Lliam,0,0
Analucia,0,0
Yancy,0.44,0.56
Dhiya,0,0
Zevulun,0,0
Kirpa,0,0
Jadavion,0,0
Keltin,0,0
Midori,0,0
Zaedon,0,0
Owenn,0,0
Yorley,0,0
Mirielle,0,0
Kestrel,0,0
Kepler,0,0
Hajrah,0,0
Evangelos,0,0
Takota,0,0
Ewaoluwa,0,0
Fateh,0,0
Kacie,0,0
Kacia,0,0
Chantel,0,0
Chantell,0,0
Kacin,0,0
Raedyn,0.34615384615384615,0.6538461538461539
Yicheng,0,0
Chaaya,0,0
Meila,0,0
Maicy,0,0
Jourdan,0.47058823529411764,0.5294117647058824
Meili,0,0
Josian,0,0
Silus,0,0
Vihaanreddy,0,0
Tysen,0,0
Maico,0,0
Keyshun,0,0
Meily,0,0
Cian,0,0
Hubert,0,0
Haowen,0,0
Quashawn,0,0
Kimya,0,0
Jasraj,0,0
Arhaam,0,0
Arhaan,0,0
Anaceli,0,0
Tyran,0,0
Halleigh,0,0
Alicia,0,0
Kadie,0,0
Hala,0,0
Hale,0,0
Hali,0,0
Halo,0.14193548387096774,0.8580645161290322
Dailen,0,0
Aneka,0,0
Maksim,0,0
Chyenne,0,0
Josiel,0,0
Allison,0.0016516792071939806,0.998348320792806
Claritza,0,0
Maxfield,0,0
Chet,0,0
Cher,0,0
Elleson,0,0
Mickell,0,0
Camillia,0,0
Daelon,0,0
Sibley,0,0
Lando,0,0
Shailee,0,0
Aryiah,0,0
Aryian,0,0
Sky,0.2404040404040404,0.7595959595959596
Karizma,0,0
Axxel,0,0
Shailey,0,0
Arlon,0,0
Raman,0,0
Tifeoluwa,0,0
Adir,0,0
Adis,0,0
Elmina,0,0
Bianca,0,0
Adia,0,0
Otylia,0,0
Adie,0,0
Adil,0,0
Adin,0,0
Iliyana,0,0
Julieth,0,0
Grettell,0,0
Graciee,0,0
Julieta,0,0
Revan,0,0
Juliett,0,0
Eirene,0,0
Givanni,0,0
Winnie,0,0
Zuriah,0,0
Albaraa,0,0
Alyla,0,0
Anjolaoluwa,0,0
Ludwin,0,0
Santana,0.7014492753623188,0.2985507246376812
Eames,0,0
Jowell,0,0
Madelina,0,0
Dylanie,0,0
Madeline,0,0
Kaynen,0,0
Jonae,0,0
Raley,0,0
Haddy,0,0
Jonan,0,0
Aws,0,0
Kolten,0,0
Jonah,0.9910468319559229,0.008953168044077135
Kolter,0,0
Jonas,0,0
Samridh,0,0
Breindel,0,0
Circe,0,0
Awa,0,0
Payge,0,0
Jaylynn,0.03926096997690531,0.9607390300230947
Priti,0,0
Harbor,0.4,0.6
Samanta,0,0
Quinnlyn,0,0
Kamarious,0,0
Israella,0,0
Madalynne,0,0
Kynleigh,0,0
Emerlee,0,0
Davaun,0,0
Arne,0,0
Telvin,0,0
Harutyun,0,0
Niyla,0,0
Jakaya,0,0
Jeniveve,0,0
Izsabella,0,0
Giordana,0,0
Pepper,0,0
Caius,0,0
Omair,0,0
Krishal,0,0
Krishan,0,0
Mykael,0,0
Rhiana,0,0
Krishav,0,0
Krishay,0,0
Paelynn,0,0
Cross,0,0
Lareen,0,0
Sonika,0,0
Cevin,0,0
Kween,0,0
Vanellope,0,0
Yahvi,0,0
Capree,0,0
Dannah,0,0
Aydon,0,0
Dannae,0,0
Prem,0,0
Nala,0,0
Anshu,0,0
Nalu,0,0
Jaydalee,0,0
Anshi,0,0
Marlaysia,0,0
Sarriah,0,0
Beyla,0,0
Kiko,0.6428571428571429,0.35714285714285715
Kiki,0,0
Daisymae,0,0
Jaycob,0,0
Presten,0,0
Kaleiah,0,0
Mar,0,0
Kashif,0,0
Jeslynn,0,0
Dawaun,0,0
Inaaya,0,0
Megyn,0,0
Arius,0,0
Naydelin,0,0
Justiss,0,0
Vesper,0,0
Xzavior,0,0
Mishal,0,0
Ahri,0,0
Jernie,0,0
Justise,0,0
Aastha,0,0
Maleyah,0,0
Montez,0,0
Diesel,0,0
Keanthony,0,0
Kitzia,0,0
Montel,0,0
Yuma,0,0
Maley,0,0
Dervin,0,0
Kashis,0,0
Aurik,0,0
Yumi,0,0
Aurie,0,0
Charleigh,0,0
Auria,0,0
Angeldejesus,0,0
Malek,0,0
Jazira,0,0
Jd,0,0
Evalynne,0,0
Malea,0,0
Malee,0,0
Taymour,0,0
Chizitelu,0,0
Mai,0,0
Ameelia,0,0
Mak,0,0
Briela,0,0
Veyah,0,0
Briele,0,0
Keanan,0,0
Agamjot,0,0
Sergio,0,0
Briell,0,0
